Lambda,Displacement
0.0,0.0
1.1,0.24263924017604543
2.2,0.485482575246577
3.3,0.7285313519813053
4.4,0.9717869330933565
5.5,1.2152506974438098
6.6000000000000005,1.458924040980524
7.700000000000001,1.7028083757356653
8.8,1.9469051313909358
9.9,2.1912157558576792
10.999999999999998,2.4357417147414373
12.099999999999998,2.6804844919636728
13.199999999999998,2.9254455882537487
14.299999999999999,3.1706265251674903
15.399999999999999,3.416028843736451
16.5,3.6616541044844726
17.6,3.9075038878824557
18.7,4.153579794860308
19.800000000000004,4.399883447196701
20.900000000000002,4.646416487918703
22.000000000000004,4.893180581711592
23.100000000000005,5.140177415339151
24.200000000000006,5.387408698074816
25.300000000000008,5.634876162144009
26.400000000000006,5.88258156271715
27.500000000000007,6.1305266739055275
28.60000000000001,6.378713303833052
29.700000000000006,6.6271432810521755
30.800000000000008,6.875818458820874
31.90000000000001,7.124740706156564
33.000000000000014,7.373911936514989
34.100000000000016,7.623334083959683
35.20000000000002,7.873009108847478
36.30000000000001,8.122938999613638
37.40000000000001,8.373125773358382
38.500000000000014,8.623571476454593
39.600000000000016,8.874278185176234
40.70000000000002,9.12524800634287
41.80000000000002,9.37648307798271
42.90000000000002,9.627985570014788
44.00000000000002,9.879757684951004
45.10000000000002,10.131801652277211
46.200000000000024,10.384119739639731
47.30000000000002,10.636714214687625
48.40000000000002,10.88958733704292
49.50000000000003,11.142741495078551
50.60000000000003,11.396179064934053
51.70000000000003,11.649902564765714
52.800000000000026,11.903914502560141
53.90000000000003,12.158217405282535
55.00000000000002,12.412813840653506
56.10000000000002,12.667706418120979
57.20000000000003,12.922897353355149
58.300000000000026,13.178388807815105
59.40000000000003,13.434184304253241
60.50000000000003,13.690286617913968
61.60000000000003,13.94669810140305
62.70000000000003,14.203421528374049
63.800000000000026,14.460460255796907
64.90000000000003,14.717817245674967
66.00000000000003,14.975495308562369
67.10000000000002,15.233497200242534
68.20000000000003,15.491826471485947
69.30000000000004,15.750486293858216
70.40000000000005,16.009479890057044
71.50000000000004,16.268810138550435
72.60000000000004,16.528480753613785
73.70000000000005,16.788495140755526
74.80000000000004,17.04885670637125
75.90000000000005,17.30956701350617
77.00000000000004,17.570629716713768
78.10000000000004,17.83205002394303
79.20000000000005,18.09383165062689
80.30000000000004,18.355978383706415
81.40000000000005,18.618494083674463
82.50000000000004,18.88138268669748
83.60000000000004,19.14464820681924
84.70000000000005,19.40829338929019
85.80000000000005,19.67232215317643
86.90000000000006,19.936740077512496
88.00000000000006,20.201551497581654
89.10000000000005,20.466760838447993
90.20000000000006,20.732372617724383
91.30000000000005,20.99839144845486
92.40000000000006,21.26482204211739
93.50000000000006,21.531669139461126
94.60000000000005,21.798933036843994
95.70000000000006,22.066622315248228
96.80000000000005,22.33507974886171
97.90000000000006,22.6123147786459
99.00000000000006,22.914135415600335
100.10000000000005,23.35467579710117
101.20000000000006,25.365724348885824
102.30000000000007,28.719171309167457
103.40000000000008,35.734515229103174
104.50000000000007,48.66770423069622
105.60000000000008,64.30432065608971
106.70000000000007,80.946256997901
107.80000000000007,97.79162710286225
108.90000000000008,114.6730438466714
110.00000000000007,131.59453643310596
