P;My;Mz
1;0;43
2;35.5;36.3
3;55.1;27
4;67;20.4
5;75.2;15.3
6;81.2;11
7;86.4;7.3
8;90.8;3.7
9;95.6;0
10;90.8;-3.7
11;86.4;-7.3
12;81.2;-11
13;75.2;-15.3
14;67;-20.4
15;55.1;-27
16;35.5;-36.3
17;0;-43
18;-35.5;-36.3
19;-55.1;-27
20;-67;-20.4
21;-75.2;-15.3
22;-81.2;-11
23;-86.4;-7.3
24;-90.8;-3.7
25;-95.6;0
26;-90.8;3.7
27;-86.4;7.3
28;-81.2;11
29;-75.2;15.3
30;-67;20.4
31;-55.1;27
32;-35.5;36.3
33;0;43
