P;My;Mz
1;0;41.1
2;32.7;33.3
3;50.7;24.9
4;61.1;18.5
5;63.4;12.9
6;63.5;8.6
7;63.6;5.3
8;63.6;2.6
9;63.6;0
10;63.6;-2.6
11;63.6;-5.3
12;63.5;-8.6
13;63.4;-12.9
14;61.1;-18.5
15;50.7;-24.9
16;32.7;-33.3
17;0;-41.1
18;-32.7;-33.3
19;-50.7;-24.9
20;-61.1;-18.5
21;-63.4;-12.9
22;-63.5;-8.6
23;-63.6;-5.3
24;-63.6;-2.6
25;-63.6;0
26;-63.6;2.6
27;-63.6;5.3
28;-63.5;8.6
29;-63.4;12.9
30;-61.1;18.5
31;-50.7;24.9
32;-32.7;33.3
33;0;41.1
